Multiples,Name,Spec_Genre
0,12 Rules for Life: An Antidote to Chaos,Self Help
1,12 Rules for Life: An Antidote to Chaos,Psychology
0,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Nonfiction
1,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Science
2,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Childrens
3,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Reference
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Academic
5,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",School
6,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Education
7,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Science
8,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Geography
9,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Animals
0,A Dance with Dragons (A Song of Ice and Fire),Fantasy
1,A Dance with Dragons (A Song of Ice and Fire),Fiction
2,A Dance with Dragons (A Song of Ice and Fire),Fantasy
3,A Dance with Dragons (A Song of Ice and Fire),Epic Fantasy
4,A Dance with Dragons (A Song of Ice and Fire),Science Fiction Fantasy
5,A Dance with Dragons (A Song of Ice and Fire),Fantasy
6,A Dance with Dragons (A Song of Ice and Fire),High Fantasy
7,A Dance with Dragons (A Song of Ice and Fire),Fantasy
8,A Dance with Dragons (A Song of Ice and Fire),Dragons
9,A Dance with Dragons (A Song of Ice and Fire),Adult
10,A Dance with Dragons (A Song of Ice and Fire),Adventure
11,A Dance with Dragons (A Song of Ice and Fire),Audiobook
12,A Dance with Dragons (A Song of Ice and Fire),Epic
0,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fantasy
1,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fiction
2,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Science Fiction Fantasy
3,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Adventure
4,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Novels
5,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fantasy
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Dragons
7,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Science Fiction
8,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fantasy
9,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Epic Fantasy
10,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Epic
11,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fantasy
12,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,High Fantasy
0,A Man Called Ove: A Novel,Fiction
0,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,History
1,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Nonfiction
2,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,North American Hi...
3,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,American History
4,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Politics
5,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Historical
6,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Reference
7,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Education
8,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Academic
9,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,School
10,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Adult
11,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Academic
12,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Read For School
0,A Stolen Life: A Memoir,Nonfiction
1,A Stolen Life: A Memoir,Autobiography
2,A Stolen Life: A Memoir,Memoir
3,A Stolen Life: A Memoir,Crime
4,A Stolen Life: A Memoir,True Crime
5,A Stolen Life: A Memoir,Biography
6,A Stolen Life: A Memoir,Biography
7,A Stolen Life: A Memoir,Autobiography
8,A Stolen Life: A Memoir,Mystery
9,A Stolen Life: A Memoir,Crime
10,A Stolen Life: A Memoir,Biography Memoir
11,A Stolen Life: A Memoir,Sociology
12,A Stolen Life: A Memoir,Abuse
13,A Stolen Life: A Memoir,Adult
14,A Stolen Life: A Memoir,Audiobook
0,A Wrinkle in Time (Time Quintet),Fantasy
1,A Wrinkle in Time (Time Quintet),Fiction
2,A Wrinkle in Time (Time Quintet),Classics
3,A Wrinkle in Time (Time Quintet),Young Adult
4,A Wrinkle in Time (Time Quintet),Science Fiction
5,A Wrinkle in Time (Time Quintet),Childrens
6,A Wrinkle in Time (Time Quintet),Childrens
7,A Wrinkle in Time (Time Quintet),Middle Grade
8,A Wrinkle in Time (Time Quintet),Science Fiction
9,A Wrinkle in Time (Time Quintet),Time Travel
10,A Wrinkle in Time (Time Quintet),Adventure
11,A Wrinkle in Time (Time Quintet),Science Fiction Fantasy
0,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Nonfiction
1,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Self Help
2,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Relationships
3,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Psychology
4,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Humor
5,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Adult
6,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Romance
7,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Self Help
8,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Personal Development
9,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Inspirational
10,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Love
0,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Colouring Books
0,Adult Coloring Book: Stress Relieving Animal Designs,Colouring Books
1,Adult Coloring Book: Stress Relieving Animal Designs,Colouring
2,Adult Coloring Book: Stress Relieving Animal Designs,Art
0,Adult Coloring Book: Stress Relieving Patterns,Colouring Books
0,Allegiant,Young Adult
1,Allegiant,Fiction
2,Allegiant,Science Fiction
3,Allegiant,Dystopia
4,Allegiant,Fantasy
5,Allegiant,Science Fiction
6,Allegiant,Romance
7,Allegiant,Adventure
8,Allegiant,Apocalyptic
9,Allegiant,Post Apocalyptic
10,Allegiant,Young Adult
11,Allegiant,Teen
12,Allegiant,Action
0,American Dirt (Oprah's Book Club),Fiction
1,American Dirt (Oprah's Book Club),Contemporary
2,American Dirt (Oprah's Book Club),Audiobook
3,American Dirt (Oprah's Book Club),Historical
4,American Dirt (Oprah's Book Club),Historical Fiction
5,American Dirt (Oprah's Book Club),Book Club
6,American Dirt (Oprah's Book Club),Adult
7,American Dirt (Oprah's Book Club),Adult Fiction
8,American Dirt (Oprah's Book Club),Literary Fiction
9,American Dirt (Oprah's Book Club),Thriller
10,American Dirt (Oprah's Book Club),Novels
0,Arguing with Idiots: How to Stop Small Minds and Big Government,Politics
1,Arguing with Idiots: How to Stop Small Minds and Big Government,Nonfiction
2,Arguing with Idiots: How to Stop Small Minds and Big Government,Humor
3,Arguing with Idiots: How to Stop Small Minds and Big Government,History
4,Arguing with Idiots: How to Stop Small Minds and Big Government,Audiobook
5,Arguing with Idiots: How to Stop Small Minds and Big Government,Politics
6,Arguing with Idiots: How to Stop Small Minds and Big Government,Government
7,Arguing with Idiots: How to Stop Small Minds and Big Government,Politics
8,Arguing with Idiots: How to Stop Small Minds and Big Government,Political Science
9,Arguing with Idiots: How to Stop Small Minds and Big Government,Economics
10,Arguing with Idiots: How to Stop Small Minds and Big Government,Humor
11,Arguing with Idiots: How to Stop Small Minds and Big Government,Comedy
12,Arguing with Idiots: How to Stop Small Minds and Big Government,Philosophy
0,"Autobiography of Mark Twain, Vol. 1",Biography
1,"Autobiography of Mark Twain, Vol. 1",Nonfiction
2,"Autobiography of Mark Twain, Vol. 1",Biography
3,"Autobiography of Mark Twain, Vol. 1",Autobiography
4,"Autobiography of Mark Twain, Vol. 1",History
5,"Autobiography of Mark Twain, Vol. 1",Autobiography
6,"Autobiography of Mark Twain, Vol. 1",Memoir
7,"Autobiography of Mark Twain, Vol. 1",Biography Memoir
8,"Autobiography of Mark Twain, Vol. 1",Humor
9,"Autobiography of Mark Twain, Vol. 1",Literature
10,"Autobiography of Mark Twain, Vol. 1",Classics
11,"Autobiography of Mark Twain, Vol. 1",Literature
12,"Autobiography of Mark Twain, Vol. 1",American
0,Baby Touch and Feel: Animals,Animals
1,Baby Touch and Feel: Animals,Childrens
2,Baby Touch and Feel: Animals,Picture Books
0,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Food and Drink
1,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Cookbooks
2,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Food and Drink
3,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Cooking
4,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Nonfiction
5,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Food and Drink
6,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Food
7,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Food and Drink
8,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",How To
9,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Reference
10,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Food and Drink
11,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Foodie
0,Being Mortal: Medicine and What Matters in the End,Nonfiction
1,Being Mortal: Medicine and What Matters in the End,Science
2,Being Mortal: Medicine and What Matters in the End,Health
0,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Politics
1,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Nonfiction
2,"Broke: The Plan to Restore Our Trust, Truth and Treasure",History
3,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Economics
4,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Politics
5,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Political Science
6,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Politics
7,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Government
8,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Economics
9,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Finance
10,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Philosophy
11,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Literature
12,"Broke: The Plan to Restore Our Trust, Truth and Treasure",American
13,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Cultural
0,"Brown Bear, Brown Bear, What Do You See?",Childrens
1,"Brown Bear, Brown Bear, What Do You See?",Picture Books
2,"Brown Bear, Brown Bear, What Do You See?",Childrens
3,"Brown Bear, Brown Bear, What Do You See?",Animals
4,"Brown Bear, Brown Bear, What Do You See?",Fiction
5,"Brown Bear, Brown Bear, What Do You See?",Classics
6,"Brown Bear, Brown Bear, What Do You See?",Childrens
7,"Brown Bear, Brown Bear, What Do You See?",Storytime
8,"Brown Bear, Brown Bear, What Do You See?",Poetry
9,"Brown Bear, Brown Bear, What Do You See?",Kids
10,"Brown Bear, Brown Bear, What Do You See?",Childrens
11,"Brown Bear, Brown Bear, What Do You See?",Juvenile
12,"Brown Bear, Brown Bear, What Do You See?",Young Adult
0,"Brown Bear, Brown Bear, What Do You See?",Childrens
1,"Brown Bear, Brown Bear, What Do You See?",Picture Books
2,"Brown Bear, Brown Bear, What Do You See?",Childrens
3,"Brown Bear, Brown Bear, What Do You See?",Animals
4,"Brown Bear, Brown Bear, What Do You See?",Fiction
5,"Brown Bear, Brown Bear, What Do You See?",Classics
6,"Brown Bear, Brown Bear, What Do You See?",Childrens
7,"Brown Bear, Brown Bear, What Do You See?",Storytime
8,"Brown Bear, Brown Bear, What Do You See?",Poetry
9,"Brown Bear, Brown Bear, What Do You See?",Kids
10,"Brown Bear, Brown Bear, What Do You See?",Childrens
11,"Brown Bear, Brown Bear, What Do You See?",Juvenile
12,"Brown Bear, Brown Bear, What Do You See?",Young Adult
0,Burn After Writing,Nonfiction
1,Burn After Writing,Self Help
2,Burn After Writing,Language
3,Burn After Writing,Writing
4,Burn After Writing,Health
5,Burn After Writing,Mental Health
0,Capital in the Twenty First Century,Economics
0,Chicka Chicka Boom Boom ,Childrens
1,Chicka Chicka Boom Boom ,Picture Books
2,Chicka Chicka Boom Boom ,Childrens
3,Chicka Chicka Boom Boom ,Fiction
4,Chicka Chicka Boom Boom ,Poetry
5,Chicka Chicka Boom Boom ,Classics
6,Chicka Chicka Boom Boom ,Childrens
7,Chicka Chicka Boom Boom ,Storytime
8,Chicka Chicka Boom Boom ,Kids
9,Chicka Chicka Boom Boom ,Academic
10,Chicka Chicka Boom Boom ,School
11,Chicka Chicka Boom Boom ,Humor
12,Chicka Chicka Boom Boom ,Childrens
13,Chicka Chicka Boom Boom ,Juvenile
0,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Food and Drink
1,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Cookbooks
2,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Food and Drink
3,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Cooking
4,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Nonfiction
5,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Food and Drink
6,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Food
7,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Food and Drink
8,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Reference
9,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Food and Drink
10,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Foodie
11,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Adult
12,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Health
13,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Food and Drink
14,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Culinary
0,Crazy Rich Asians (Crazy Rich Asians Trilogy),Fiction
1,Crazy Rich Asians (Crazy Rich Asians Trilogy),Romance
2,Crazy Rich Asians (Crazy Rich Asians Trilogy),Contemporary
3,Crazy Rich Asians (Crazy Rich Asians Trilogy),Adult Fiction
4,Crazy Rich Asians (Crazy Rich Asians Trilogy),Humor
5,Crazy Rich Asians (Crazy Rich Asians Trilogy),Cultural
6,Crazy Rich Asians (Crazy Rich Asians Trilogy),Asia
7,Crazy Rich Asians (Crazy Rich Asians Trilogy),Romance
8,Crazy Rich Asians (Crazy Rich Asians Trilogy),Love Story
9,Crazy Rich Asians (Crazy Rich Asians Trilogy),Drama
10,Crazy Rich Asians (Crazy Rich Asians Trilogy),Womens Fiction
11,Crazy Rich Asians (Crazy Rich Asians Trilogy),Chick Lit
12,Crazy Rich Asians (Crazy Rich Asians Trilogy),Anthologies
13,Crazy Rich Asians (Crazy Rich Asians Trilogy),Collections
0,Creative Haven Owls Coloring Book (Adult Coloring),Colouring Books
1,Creative Haven Owls Coloring Book (Adult Coloring),Colouring
2,Creative Haven Owls Coloring Book (Adult Coloring),Art
3,Creative Haven Owls Coloring Book (Adult Coloring),Animals
0,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fantasy
1,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Paranormal
2,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Vampires
3,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fantasy
4,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Paranormal
5,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fantasy
6,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Urban Fantasy
7,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fiction
8,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Romance
9,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Mystery
10,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Romance
11,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Paranormal Romance
12,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fantasy
13,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Supernatural
14,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Adult
0,Dear Zoo: A Lift-the-Flap Book,Childrens
